Riverside_Park,Location,Latitude,Longitude,for_the_Disabled
中正河濱公園,中正橋下旁身障者轉用流動廁所,25.02271,121.51595,X
中正河濱公園,網球場旁水防道路越堤陸橋前流動廁所,25.0375,121.51444,X
中正河濱公園,壘球場旁流動廁所,25.02377,121.51238,X
中正河濱公園,壘球場前自行車道旁流動廁所,25.02375,121.51217,X
中正河濱公園,溜冰場旁流動廁所,25.02305,121.51045,X
木柵河濱公園,木柵河濱公園流動廁所,24°59.058北,121°32.663東,X
木柵河濱公園,寶橋下游流動廁所,24°59.085北,121°33.059東,X
木柵河濱公園,一壽橋上游流動廁所,24°58.909北,121°33.332東,X
道南左岸河濱公園,左岸道南橋下流動廁所,24°59.287北,121°.34.354東,X
道南左岸河濱公園,萬壽橋下流動廁所,24°59.497北,121°.34.353東,X
道南左岸河濱公園,捷運橋下游動廁所,24°59.605北,121°.34.361東,X
道南左岸河濱公園,捷運橋上游流動廁所,24°59.913北,121°.34.697東,X
道南左岸河濱公園,動物園前流動廁所,24°59.954北,121°.34.283東,X
道南右岸河濱公園,恆光橋下公廁,24°58.858北,121°34.045東,
道南右岸河濱公園,恆光橋上游公廁,24°58.979北,121°34.223東,
道南右岸河濱公園,萬壽橋及橋下流動廁所,24°59.499北,121°34.302東,X
古亭河濱公園,同安越堤階梯自行車牽引道旁流動公廁,25.02077,121.51969,
古亭河濱公園,客家跨堤平台連接古亭階梯出入口旁固定公廁,25.02031,121.52253,
古亭河濱公園,溜冰場旁流動公廁,25.01783,121.52244,
古亭河濱公園,籃球場旁景觀公廁,25.01452,121.52602,
延平河濱公園,租借站後方景觀廁所,25.05589,121.50762,
延平河濱公園,唐山帆船旁景觀廁所,25.0572,121.50799,
延平河濱公園,延平宮後方景觀廁所,25.05408,121.50735,
延平河濱公園,延平宮上游約10公尺水防道路旁流動廁所,25.05314,121.50706,X
馬場町河濱公園,靠河岸自行車道告示牌旁流動側所,25.01959,121.50553,X
景美河濱公園,北新橋下游側旁流動公廁,24.9884,121.53938,X
華中河濱公園,華中馬場町交界處流動廁所,25.018,121.50217,X
華中河濱公園,露營場上游約150m果菜市場後方自行車道旁流動廁所,25.01579,121.50034,X
華中河濱公園,露營場內景觀廁所,25.01463,121.49651,
華中河濱公園,華中橋下租借站前流動廁所,25.01419,121.49533,X
華中河濱公園,華中橋下籃球場前流動廁所,25.01417,121.49517,X
華中河濱公園,華中橋下網球場前流動廁所,25.01298,121.49516,X
華中河濱公園,華中橋下自行車練習場旁流動廁所,25.01244,121.49512,X
華中河濱公園,兒童游戲區旁流動廁所,25.01396,121.49443,X
華中河濱公園,華中橋下游約100m水防道路旁流動廁所,25.171,121.4937,X
華中河濱公園,華中網球場停車場間流動廁所,25.01698,121.49234,X
華中河濱公園,華中網球場停車場後方身障廁所,25.01655,121.49152,
華中河濱公園,足球場下游側流動廁所,25.02169,12149109,X
華中河濱公園,光復橋下休憩空間旁流動廁所,25.02427,121.49019,X
華中河濱公園,樹林區羽球場旁流動廁所,25.02633,121.48944,X
華中河濱公園,華翠橋下停車場旁流動廁所,25.02794,121.48861,X
福和河濱公園,福和橋旁流動公廁,25.00847,121.53339,X
福和河濱公園,福和第2座壘球場旁流動公廁,25.0071,121.53562,X
福和河濱公園,景2疏散門上游流動公廁,24.99737,121.53527,X
福和河濱公園,淡2疏散門前廣場旁流動廁所,25.04165,121.49919,X
雙園河濱公園,公車停車場前流動公廁,25.031,121.48818,X
雙園河濱公園,籃球場網球場間流動公廁,25.03408,121.48784,X
雙園河濱公園,壘球場網球場間流動公廁1,25.03437,121.48722,X
雙園河濱公園,壘球場網球場間流動公廁2,25.03452,121.48692,X
雙園河濱公園,華江橋下水防道路旁流動公廁,25.3532,121.49027,X
圓山河濱公園,圓山公廁1,25°4.493,121°31.624,
圓山河濱公園,圓山公廁2,25°4.655,121°31.978,
美堤河濱公園,美堤公廁1,25°4.643,121°32.686,
美堤河濱公園,美堤公廁2,25°4.644,121°32.954,
美堤河濱公園,美堤公廁3,25°4.632,121°33.069,
美堤河濱公園,美堤公廁4,25°4.623,121°33.239,
美堤河濱公園,美堤公廁5,25°4.616,121°33.470,
美堤河濱公園,美堤公廁6,25°4.583,121°33.619,
美堤河濱公園,美堤公廁7,25°4.559,121°33.886,
彩虹河濱公園,彩虹公廁1,25°3.923,121°34.320,
彩虹河濱公園,彩虹公廁2,25°3.860,121°34.327,
彩虹河濱公園,彩虹公廁3,25°3.694,121°34.338,
彩虹河濱公園,彩虹公廁4,25°3.212,121°34.447,
成美右岸河濱公園,成美公廁1,25°3.562,121°35.459,
南湖右岸河濱公園,南湖公廁1,25°3.817,121°36.673,
大佳河濱公園,大佳公廁1,25°4.430,121°31.815,
大佳河濱公園,基8號疏散門(公廁),25°4.424,121°32.381,
大佳河濱公園,大佳景觀廁所,25°4.528,121°32.595,
迎風河濱公園,迎風公廁1,25°4.425,121°32.680,
迎風河濱公園,迎風公廁2,25°4.412,121°32.748,
迎風河濱公園,迎風公廁3,25°4.410,121°32.773,
迎風河濱公園,迎風公廁4,25°4.412,121°32.902,
迎風河濱公園,迎風公廁5,25°4.419,121°33.004,
迎風河濱公園,迎風公廁6,25°4.418,121°33.045,
迎風河濱公園,迎風公廁7,25°4.416,121°33.193,
迎風河濱公園,迎風公廁8,25°4.428,121°33.250,
迎風河濱公園,迎風公廁9,25°4.427,121°33.400,
迎風河濱公園,迎風公廁10,25°4.286,121°33.918,
迎風河濱公園,迎風公廁11,25°4.292,121°34.918,
觀山河濱公園,觀山公廁1,25°4.243,121°34.110,
觀山河濱公園,觀山公廁2,25°3.860,121°34.105,
觀山河濱公園,觀山公廁3,25°3.775,121°34.124,
觀山河濱公園,觀山公廁4,25°3.544,121°34.195,
觀山河濱公園,觀山公廁5,25°3.086,121°34.278,
觀山河濱公園,觀山公廁6,25°3.059,121°34.441,
觀山河濱公園,觀山公廁7,25°3.103,121°34.639,
觀山河濱公園,觀山公廁8,25°3.154,121°34.871,
成美左岸河濱公園,成美公廁1,25°3.235,121°35.159,
成美左岸河濱公園,成美公廁2,25°3.500,121°35.523,
南湖左岸河濱公園,南湖公廁1,25°3.763,121°36.758,
河雙21號公園,越野運動場,25°06'48.1'',121°29'56.5'',
河雙21號公園,租借站旁,25°05'50.4'',121°30'32.1'',
關渡水岸公園,租借站旁#1,25°07'18.1'',121°27'43.4'',
關渡水岸公園,租借站旁#2,25°07'17.9'',121°27'43.2'',
關渡水岸公園,租借站旁#3,25°07'17.8'',121°27'43.2'',
關渡水岸公園,租借站旁#4,25°07'17.7'',121°27'43.2'',
關渡水岸公園,租借站旁#5,25°07'17.6'',121°27'43.3'',
關渡水岸公園,籃球場旁,25°07'07.5'',121°27'44.9'',
雙溪河濱公園(右岸),福林橋下,25°06'01.8'',121°31'36.7'',
百齡右岸河濱公園,承德橋下游100公尺,25°04'46.1'',121°31'10.1'',
百齡右岸河濱公園,三腳渡碼頭,25°04'50.8'',121°31'04.4'',
百齡右岸河濱公園,運動場出入口,25°04'56.6'',121°30'59.8'',
百齡右岸河濱公園,橄欖球場,25°05'02.7'',121°30'57.5'',
百齡右岸河濱公園,舊球場,25°05'08.7'',121°30'56.3'',
百齡右岸河濱公園,舊球場,25°05'11.5'',121°30'55.8'',
百齡右岸河濱公園,足球場,25°05'13.8'',121°30'55.4'',
百齡右岸河濱公園,百齡橋上游50公尺,25°05'22.5'',121°30'54.3'',
百齡右岸河濱公園,壘球場1,25°05'28.1'',121°30'53.0'',
百齡右岸河濱公園,壘球場2,25°05'34.9'',121°30'49.9'',
百齡右岸河濱公園,壘球場3,25°05'37.9'',121°30'47.5'',
百齡右岸河濱公園,壘球場4,25°05'40.8'',121°30'44.8'',
百齡左岸河濱公園,社子棒球場A,25°05'35.8'',121°30'27.3'',
百齡左岸河濱公園,百齡河濱公園,25°05'31.7'',121°30'37.1'',
百齡左岸河濱公園,停車場,25°05'29.3'',121°30'42.8'',
百齡左岸河濱公園,網球場,25°05'21.8'',121°30'43.0'',
百齡左岸河濱公園,百齡橋下(上游),25°05'18.6'',121°30'43.5'',
百齡左岸河濱公園,百齡橋下(下游),25°05'18.4'',121°30'43.6'',
百齡左岸河濱公園,曲球場,25°05'08.7'',121°30'45.7'',
百齡左岸河濱公園,百齡河濱公園,25°04'54.5'',121°30'50.0'',
百齡左岸河濱公園,巴琅拱橋,25°04'43.9'',121°31'0.1'',
百齡左岸河濱公園,承德橋旁,25°04'40.3'',121°31'09.2'',
延平河濱公園,台北橋下,25°03'49.7'',121°30'30.8'',
延平河濱公園,敦煌疏散門,25°04'36.8,121°30'30'',
延平河濱公園,重陽橋下,25°05'08.4'',121°30'18.8'',
延平河濱公園,社子島南端入口,25°05'32.7'',121°29'53.3'',
社子島河濱公園,福安河濱公園,25°05'41.3'',121°29'42.7'',
社子島河濱公園,福安公園,25°05'46.1'',121°29'37.7'',
社子島河濱公園,延平北路8段牽引道,25°06'10.0'',121°29'0.9'',
社子島河濱公園,富洲河濱公園,25°06'18.8'',121°28'35.2'',
社子島河濱公園,社713,25°06'27.4'',121°28'9.5'',
社子島河濱公園,島頭公園,25°06'36.8'',121°27'59.5'',
社子島河濱公園,東山宮,25°06'35.0'',121°28'27.5'',
社子島河濱公園,社子島2號抽水站,25°06'38.7'',121°28'48.5'',
百齡左岸河濱公園,明美公園,25°05'37.5'',121°30'15.5'',
百齡左岸河濱公園,社子棒球場C,25°05'36.9'',121°30'20.2'',
百齡左岸河濱公園,社子棒球場B,25°05'36.3'',121°30'23.8'',
